Key Stage,Year,Curriculum Strand,Section / Topic,Objective / Requirement,Skill Code,Skill Title,Skill URL
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-K.2,Choose the short a word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-a-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-K.4,Choose the short a sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-a-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-L.2,Choose the picture that matches the short e word,https://uk.ixl.com/english/year-1/choose-the-picture-that-matches-the-short-e-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-L.4,Choose the short e sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-e-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-M.2,Choose the short i word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-i-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-M.4,Choose the short i sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-i-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-N.2,Choose the short o word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-o-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-N.4,Choose the short o sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-o-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-O.2,Choose the picture that matches the short u word,https://uk.ixl.com/english/year-1/choose-the-picture-that-matches-the-short-u-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-O.4,Choose the short u sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-u-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-P.4,Complete the sentence with the correct short vowel word,https://uk.ixl.com/english/year-1/complete-the-sentence-with-the-correct-short-vowel-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-P.5,Read questions with short vowel words,https://uk.ixl.com/english/year-1/read-questions-with-short-vowel-words
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-F.2,Does the word start with a consonant blend?,https://uk.ixl.com/english/year-2/does-the-word-start-with-a-consonant-blend
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-F.4,Does the word end with a consonant blend?,https://uk.ixl.com/english/year-2/does-the-word-end-with-a-consonant-blend
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-F.6,"Complete the word to match the picture: -ss, -ll, -ff, -zz, -ck",https://uk.ixl.com/english/year-2/complete-the-word-to-match-the-picture-ss-ll-ff-zz-ck
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-N.1,Choose the silent e word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-silent-e-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-N.4,Choose the silent e sentence that matches the picture,https://uk.ixl.com/english/year-2/choose-the-silent-e-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-O.1,Choose the picture that matches the vowel digraph word,https://uk.ixl.com/english/year-2/choose-the-picture-that-matches-the-vowel-digraph-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.1,Match the short a and long a words to pictures,https://uk.ixl.com/english/year-2/match-the-short-a-and-long-a-words-to-pictures
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.2,Match the short e and long e words to pictures,https://uk.ixl.com/english/year-2/match-the-short-e-and-long-e-words-to-pictures
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.3,Choose the short i or long i word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-short-i-or-long-i-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.4,Choose the short o or long o word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-short-o-or-long-o-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.5,Choose the short u or long u word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-short-u-or-long-u-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-Q.1,Choose the diphthong word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-diphthong-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.2,"Choose the letter that matches the consonant sound: b, d, j, k, p, t, v, z",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-b-d-j-k-p-t-v-z
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.3,"Choose the letter that matches the consonant sound: f, l, m, n, r, s",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-f-l-m-n-r-s
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.4,"Choose the letter that matches the consonant sound: c, g, h, w",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-c-g-h-w
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.5,Choose the letter that matches the consonant sound: review,https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-review
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.6,Which letter does the word start with?,https://uk.ixl.com/english/year-1/which-letter-does-the-word-start-with
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.7,Which letter does the word end with?,https://uk.ixl.com/english/year-1/which-letter-does-the-word-end-with
