Key Stage,Year,Category Code,Category Name,Skill Code,Skill Number,Skill Title,Skill URL
Early Years,Reception,A,Letter identification,A.1,1,Find the letter in the alphabet: uppercase,https://uk.ixl.com/english/reception/find-the-letter-in-the-alphabet-uppercase
Early Years,Reception,A,Letter identification,A.2,2,Find the letter in the alphabet: lowercase,https://uk.ixl.com/english/reception/find-the-letter-in-the-alphabet-lowercase
Early Years,Reception,A,Letter identification,A.3,3,Choose the letter that you hear: uppercase,https://uk.ixl.com/english/reception/choose-the-letter-that-you-hear-uppercase
Early Years,Reception,A,Letter identification,A.4,4,Choose the letter that you hear: lowercase,https://uk.ixl.com/english/reception/choose-the-letter-that-you-hear-lowercase
Early Years,Reception,A,Letter identification,A.5,5,Frequently confused letters: find the letter,https://uk.ixl.com/english/reception/frequently-confused-letters-find-the-letter
Early Years,Reception,A,Letter identification,A.6,6,Frequently confused letters: find all the letters,https://uk.ixl.com/english/reception/frequently-confused-letters-find-all-the-letters
Early Years,Reception,B,Lowercase and uppercase letters,B.1,1,"Choose the lowercase letter that matches: c, k, o, p, s, u, v, w, x, z",https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-c-k-o-p-s-u-v-w-x-z
Early Years,Reception,B,Lowercase and uppercase letters,B.2,2,"Choose the lowercase letter that matches: f, i, j, l, m, t, y",https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-f-i-j-l-m-t-y
Early Years,Reception,B,Lowercase and uppercase letters,B.3,3,"Choose the lowercase letter that matches: a, b, d, e, g, h, n, q, r",https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-a-b-d-e-g-h-n-q-r
Early Years,Reception,B,Lowercase and uppercase letters,B.4,4,Find all the lowercase letters,https://uk.ixl.com/english/reception/find-all-the-lowercase-letters
Early Years,Reception,B,Lowercase and uppercase letters,B.5,5,"Choose the uppercase letter that matches: C, K, O, P, S, U, V, W, X, Z",https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-c-k-o-p-s-u-v-w-x-z
Early Years,Reception,B,Lowercase and uppercase letters,B.6,6,"Choose the uppercase letter that matches: F, I, J, L, M, T, Y",https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-f-i-j-l-m-t-y
Early Years,Reception,B,Lowercase and uppercase letters,B.7,7,"Choose the uppercase letter that matches: A, B, D, E, G, H, N, Q, R",https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-a-b-d-e-g-h-n-q-r
Early Years,Reception,B,Lowercase and uppercase letters,B.8,8,Find all the uppercase letters,https://uk.ixl.com/english/reception/find-all-the-uppercase-letters
Early Years,Reception,C,Word recognition,C.1,1,Choose the two words that are the same,https://uk.ixl.com/english/reception/choose-the-two-words-that-are-the-same
Early Years,Reception,C,Word recognition,C.2,2,Choose the sentence that is spaced correctly,https://uk.ixl.com/english/reception/choose-the-sentence-that-is-spaced-correctly
Early Years,Reception,C,Word recognition,C.3,3,Find a word in a sentence,https://uk.ixl.com/english/reception/find-a-word-in-a-sentence
Early Years,Reception,D,Rhyming,D.1,1,Which word has the same ending?,https://uk.ixl.com/english/reception/which-word-has-the-same-ending
Early Years,Reception,D,Rhyming,D.2,2,Which two words have the same ending?,https://uk.ixl.com/english/reception/which-two-words-have-the-same-ending
Early Years,Reception,D,Rhyming,D.3,3,Choose the picture that rhymes with the word,https://uk.ixl.com/english/reception/choose-the-picture-that-rhymes-with-the-word
Early Years,Reception,E,Blending and segmenting,E.1,1,Blend onset and rime together to make a word,https://uk.ixl.com/english/reception/blend-onset-and-rime-together-to-make-a-word
Early Years,Reception,E,Blending and segmenting,E.2,2,Blend each sound in a word together,https://uk.ixl.com/english/reception/blend-each-sound-in-a-word-together
Early Years,Reception,E,Blending and segmenting,E.3,3,Identify the first sound in a word,https://uk.ixl.com/english/reception/identify-the-first-sound-in-a-word
Early Years,Reception,E,Blending and segmenting,E.4,4,Put the sounds in order,https://uk.ixl.com/english/reception/put-the-sounds-in-order
Early Years,Reception,F,Beginning and ending sounds,F.1,1,Which two words start with the same sound?,https://uk.ixl.com/english/reception/which-two-words-start-with-the-same-sound
Early Years,Reception,F,Beginning and ending sounds,F.2,2,Which two words end with the same sound?,https://uk.ixl.com/english/reception/which-two-words-end-with-the-same-sound
Early Years,Reception,F,Beginning and ending sounds,F.3,3,Which word ends with the same sound?,https://uk.ixl.com/english/reception/which-word-ends-with-the-same-sound
Early Years,Reception,G,Letter-sound associations: uppercase,G.1,1,"Choose the letter that matches the consonant sound: B, D, J, K, P, T, V, Z",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-B-D-J-K-P-T-V-Z
Early Years,Reception,G,Letter-sound associations: uppercase,G.2,2,"Choose the letter that matches the consonant sound: F, L, M, N, R, S",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-F-L-M-N-R-S
Early Years,Reception,G,Letter-sound associations: uppercase,G.3,3,"Choose the letter that matches the consonant sound: C, G, H, W",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-C-G-H-W
Early Years,Reception,G,Letter-sound associations: uppercase,G.4,4,Choose the uppercase letter that matches the consonant sound: review,https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-the-consonant-sound-review
Early Years,Reception,H,Letter-sound associations: lowercase,H.1,1,Find the word that begins with a given sound,https://uk.ixl.com/english/reception/find-the-word-that-begins-with-a-given-sound
Early Years,Reception,H,Letter-sound associations: lowercase,H.2,2,"Choose the letter that matches the consonant sound: b, d, j, k, p, t, v, z",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-b-d-j-k-p-t-v-z
Early Years,Reception,H,Letter-sound associations: lowercase,H.3,3,"Choose the letter that matches the consonant sound: f, l, m, n, r, s",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-f-l-m-n-r-s
Early Years,Reception,H,Letter-sound associations: lowercase,H.4,4,"Choose the letter that matches the consonant sound: c, g, h, w",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-c-g-h-w
Early Years,Reception,H,Letter-sound associations: lowercase,H.5,5,Choose the lowercase letter that matches the consonant sound: review,https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-the-consonant-sound-review
Early Years,Reception,I,Short a,I.1,1,Find the short a word,https://uk.ixl.com/english/reception/find-the-short-a-word
Early Years,Reception,I,Short a,I.2,2,Choose the short a word that matches the picture: lowercase,https://uk.ixl.com/english/reception/choose-the-short-a-word-that-matches-the-picture-lowercase
Early Years,Reception,J,Short e,J.1,1,Find the short e word,https://uk.ixl.com/english/reception/find-the-short-e-word
Early Years,Reception,J,Short e,J.2,2,Choose the picture that matches the short e word: lowercase,https://uk.ixl.com/english/reception/choose-the-picture-that-matches-the-short-e-word-lowercase
Early Years,Reception,K,Short i,K.1,1,Find the short i word,https://uk.ixl.com/english/reception/find-the-short-i-word
Early Years,Reception,K,Short i,K.2,2,Choose the short i word that matches the picture: lowercase,https://uk.ixl.com/english/reception/choose-the-short-i-word-that-matches-the-picture-lowercase
Early Years,Reception,L,Short o,L.1,1,Find the short o word,https://uk.ixl.com/english/reception/find-the-short-o-word
Early Years,Reception,L,Short o,L.2,2,Choose the short o word that matches the picture: lowercase,https://uk.ixl.com/english/reception/choose-the-short-o-word-that-matches-the-picture-lowercase
Early Years,Reception,M,Short u,M.1,1,Find the short u word,https://uk.ixl.com/english/reception/find-the-short-u-word
Early Years,Reception,M,Short u,M.2,2,Choose the picture that matches the short u word: lowercase,https://uk.ixl.com/english/reception/choose-the-picture-that-matches-the-short-u-word-lowercase
Early Years,Reception,N,Sight words,N.1,1,Choose the two sight words that are the same,https://uk.ixl.com/english/reception/choose-the-two-sight-words-that-are-the-same
Early Years,Reception,N,Sight words,N.2,2,"Read sight words set 1: a, in, run, the, you",https://uk.ixl.com/english/reception/read-sight-words-set-1-a-in-run-the-you
Early Years,Reception,N,Sight words,N.3,3,"Read sight words set 2: and, had, is, let, to",https://uk.ixl.com/english/reception/read-sight-words-set-2-and-had-is-let-to
Early Years,Reception,N,Sight words,N.4,4,"Read sight words set 3: at, for, I, one, said",https://uk.ixl.com/english/reception/read-sight-words-set-3-at-for-i-one-said
Early Years,Reception,N,Sight words,N.5,5,"Read sight words: review sets 1, 2, 3",https://uk.ixl.com/english/reception/read-sight-words-review-sets-1-2-3
Early Years,Reception,N,Sight words,N.6,6,"Read sight words set 4: can, it, not, up, yes",https://uk.ixl.com/english/reception/read-sight-words-set-4-can-it-not-up-yes
Early Years,Reception,N,Sight words,N.7,7,"Read sight words set 5: an, do, jump, look, make",https://uk.ixl.com/english/reception/read-sight-words-set-5-an-do-jump-look-make
Early Years,Reception,N,Sight words,N.8,8,"Read sight words set 6: down, go, out, so, two",https://uk.ixl.com/english/reception/read-sight-words-set-6-down-go-out-so-two
Early Years,Reception,N,Sight words,N.9,9,"Read sight words: review sets 4, 5, 6",https://uk.ixl.com/english/reception/read-sight-words-review-sets-4-5-6
